full_name,specialty,facility,city,area,phone,whatsapp,schedule,experience,verification_status,source,confidence_level
د. أحمد سالم باعوم,باطنية,مستشفى الجمهورية التعليمي,عدن,كريتر,+967777100001,+967777100001,السبت-الأربعاء 8ص-1م,18,verified,hospital,A
د. سعاد محسن قحطان,نساء وتوليد,مستشفى الصداقة التعليمي,عدن,خورمكسر,+967777100002,+967777100002,السبت-الخميس 4م-9م,15,verified,hospital,A
د. مروان علي الأحمدي,أطفال,مستشفى النقيب,عدن,خورمكسر,+967777100003,+967777100003,الأحد-الخميس 9ص-2م,12,verified,doctor,A
د. هبة نبيل الشرجبي,جلدية,مركز البشرة الحديث,عدن,المنصورة,+967777100004,+967777100004,السبت-الخميس 4م-8م,9,verified,doctor,A
د. فارس عبدالله باحاج,عظام,مستشفى ابن خلدون,عدن,لحج,+967777100005,+967777100005,السبت-الأربعاء 10ص-2م,20,verified,official,B
د. محمد ناصر حيدر,قلبية,مركز عدن للقلب,عدن,خورمكسر,+967777100006,+967777100006,السبت-الخميس 5م-9م,22,verified,hospital,A
د. رنا فؤاد الأغبري,أسنان,عيادة اللؤلؤة لطب الأسنان,عدن,المعلا,+967777100007,+967777100007,السبت-الخميس 3م-9م,7,verified,doctor,A
د. طارق يحيى الحبيشي,مسالك بولية,مستشفى الجمهورية التعليمي,عدن,كريتر,+967777100008,,السبت-الأربعاء 9ص-1م,14,verified,hospital,A
د. أروى قاسم الحكمي,أطفال,مركز الأمل للأطفال,عدن,دار سعد,+967777100009,+967777100009,الأحد-الخميس 4م-8م,10,pending,public,C
د. خالد سعيد الحضرمي,أعصاب,مستشفى الصداقة التعليمي,عدن,خورمكسر,+967777100010,,السبت-الأربعاء 8ص-12م,25,verified,official,B
د. ليلى عبدالكريم بازرعة,نساء وتوليد,عيادة الياسمين النسائية,عدن,المنصورة,+967777100011,+967777100011,السبت-الخميس 4م-8م,11,pending,public,C
د. سامي أحمد الجعدي,عيون,مركز عدن للعيون,عدن,خورمكسر,+967777100012,+967777100012,السبت-الخميس 3م-8م,13,verified,hospital,A
د. نبيل غالب الشرعبي,أنف وأذن وحنجرة,مستشفى النقيب,عدن,خورمكسر,+967777100013,,السبت-الأربعاء 9ص-1م,17,verified,hospital,A
د. أمل صالح المخلافي,باطنية,مركز الشفاء التخصصي,عدن,المنصورة,+967777100014,+967777100014,السبت-الخميس 4م-8م,8,pending,public,C
د. طلال حسن السقاف,جراحة عامة,مستشفى الجمهورية التعليمي,عدن,كريتر,+967777100015,+967777100015,السبت-الأربعاء 8ص-12م,19,verified,hospital,A
د. رغد إبراهيم باسنبل,غدد صماء وسكري,مركز عدن للسكري,عدن,الشيخ عثمان,+967777100016,+967777100016,السبت-الخميس 9ص-1م,10,verified,doctor,A
د. حسام عبدالرقيب الحداد,عظام,مستشفى ابن خلدون,عدن,لحج,+967777100017,,السبت-الأربعاء 10ص-2م,16,pending,official,B
د. منى عمر بادوس,أطفال,مستشفى الصداقة التعليمي,عدن,خورمكسر,+967777100018,+967777100018,الأحد-الخميس 3م-8م,9,verified,hospital,A
د. عماد سيف الحبيبي,قلبية,مركز عدن للقلب,عدن,خورمكسر,+967777100019,+967777100019,السبت-الخميس 4م-9م,21,verified,hospital,A
د. ندى مطهر الأصبحي,جلدية,عيادة النقاء للجلدية,عدن,المنصورة,+967777100020,+967777100020,السبت-الخميس 4م-8م,6,pending,public,C
